
--- Transcribing WhatsApp Ptt 2026-06-05 at 1.15.49 PM.mp3 ---
[0.00s -> 2.70s]  كيف حبيبي دا اوهل
[2.70s -> 5.50s]  الار افتي لجاد من اكاين تنفسه
[5.50s -> 6.50s]  فبالك
[6.50s -> 8.50s]  احنا بعدها من الناس ايض بيزد
[8.50s -> 11.50s]  احنا نحن شير برضو اريفوارة بتاست ايض بيزد
[11.50s -> 16.00s]  على الار افتي عشان مطلوب وخاصة جلقة المطلوب

--- Transcribing WhatsApp Ptt 2026-06-05 at 1.16.31 PM.mp3 ---
[0.00s -> 3.00s]  بوحس پوڑ்டுச் சைத்துத் தெல்லாமல் என்னை மைக்கிற்கு
[3.00s -> 4.00s]  OK
[4.00s -> 6.00s]  εν்தாத் திட்டிருல் திட்டினேன் தோல்
[6.00s -> 7.00s]  ஓھசக்கெல்லக் கவனாஜி

--- Transcribing WhatsApp Ptt 2026-06-05 at 1.23.58 PM.mp3 ---
[0.00s -> 9.52s]  في مبنى قائم في مدينة زايد في المنطقة الغربية في أبو زبي
[9.52s -> 19.32s]  مساحته حوالي الفو متين نتر وبالدافة لما بيني محيطة الكسمر سر بسبب 150 متر مربعة
[19.32s -> 29.56s]  وما منا عمجنسي لقتركال حوالي 150 متر تيني توتر حوالي المباني كل حوالي 1500 متر في المساحة الموجودة في العرفبي
[30.24s -> 34.76s]  القلائن بيس الدروئتك كونسالطانت هيهم الأفضل
[36.36s -> 44.88s]  إنه يعني هل من خلال الدراسات التي تتعمل على المباني دي هل يفضل عادة بناء
[44.88s -> 55.24s]  يعني هدموا عادة بناء ولا رفير بشمنت فتبعاً رفير بشمنتو بيقول إنه المباني عديمة ومتحلكا ودهنات تعبانا
[55.64s -> 64.76s]  ومهيش ماتشين مع الكود زل جديدة في أبوزابي سواء فهر لايف سفتي سواء ساستنبليتي سواء
[68.24s -> 80.24s]  مدرنيزيشين ماتشين مع الحوية بتعتم مباني طاقة المتعددة المنتشرة في المرات كلها
[81.24s -> 89.24s]  المبنى عديمة ومتحرك بقى الوقتر من 30 سنة الصور نفسه في كراكس ومحتاج دراسات فنحرب عشان تبعى
[89.24s -> 100.24s]  كونسالطانت هي عمل سربي اولا مفيش رسومات ونفيش الزيستين رسومات ونفيش ابرووووز موجودة ونفيش رسومات ونفيش ابروووووز ونفيش لجليزيشين المباني الموجودة
[100.24s -> 125.24s]  فانهار دا مطلب من كونسالطانت ان يصعر لصعر الا تعاب بتعتم على شان يقدر يحط السار المناسب لانه يام رفر بشمن ترفر بشمنتي يعني هروح ادرس هبعت نستعمل سيت سربي وها يعمل ويصوها المباني لاني فيش في رسومات لها فهي تعمل سربي لكل حتى فيها بخليا مخرجيا
